DB Name,Ingame Name Clarification,Un,IMG,"Vision Info"
Honda_Civic15VTECCrew_1994,Angel's Honda Civic 1.5 VTEC,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Honda/%23Angel's%20Honda%20Civic%201.5%20VTEC/Angel's%20Honda%20Civic%201.5%20VTEC%20(CrewCircuitGrey).jpg,"Added into the game in Update 1.8.0 and released in Season 10 (November 3, 2016 - November 17, 2016) as a winnable Tempe5t 1 Boss car."
Hyundai_VelosterTurboRSpec_2014,Hyundai Veloster Turbo R Spec,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Hyundai/Hyundai%20Veloster%20Turbo%20R%20Spec/Hyundai%20Veloster%20Turbo%20R%20Spec%20(BostonRed).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016. Initially the car was the Dodge Mopar, a reused model from CSR Racing 1, but later on swapped with the current model, the Ford Fiesta ST."
Hyundai_VelosterTurboRSpecCrew_2014,Keyshia's Hyundai Ark Performance Veloster,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Hyundai/Hyundai%20Ark%20Performance%20Veloster/Hyundai%20Ark%20Performance%20Veloster%20(CrewKeyshia).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Mazda_MX5_2016,Mazda MX-5 Miata,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Mazda/Mazda%20MX-5/Mazda%20MX-5%20(SoulRed).jpg,"Added into the game in Update 1.19.0 and released in Season 49 (May 3, 2018 - May 17, 2018) as a mandatory Tier 1 car for the Tempe5t 3 challenge. It's given out for Free to the player."
Mini_CooperS_2014,Mini Cooper S,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Mini/Mini%20Cooper%20S/Mini%20Cooper%20S%20(BlazingRed).jpg,"The model got reused from CSR Racing 1 and it was added in CSR Racing 2 around May, 2016 - June, 2016.

For the WR tune, set the Engine to stock!"
Mini_CooperSElite_2014,Rico's Mini Cooper S,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Mini/%23Rico's%20Mini%20Cooper%20S/Rico's%20Mini%20Cooper%20S%20(MidnightBlack).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Placeholder_CoveredCar_1234,Placeholder car,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/4.Unspecified/Placeholder%20Mystery/Placeholder%20Covered%20Car%20(PorscheSalzburgRacingDesign).jpg,"Added into the game in unknown. It was available thru a glitch in the dealership in April, 2020."
Toyota_86_2014,Toyota 86,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Toyota/Toyota%2086/Toyota%2086%20(GTBlack).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016. Initially the car was the Scion FRS, then a Toyota GT86 and finally, the current version being, the Toyota 86."
Volkswagen_GolfGTI_2014,Volkswagen Golf GTI,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/VolksWagen/Volkswagen%20Golf%20GTI/Volkswagen%20Golf%20GTI%20(AztecGold).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016."
Volkswagen_GolfGTIElite_2014,Ruby Rose's Volkswagen Golf GTI,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Volkswagen/%23Ruby%20Rose's%20Volkswagen%20Golf%20GTI/Ruby%20Rose's%20Volkswagen%20Golf%20GTI%20(PurpleHeart).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Volkswagen_GolfGTICrewRecycled_1982,Volkswagen Golf GTI Mk1,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/VolksWagen/Volkswagen%20Golf%20GTI%20MK1/Volkswagen%20Golf%20GTI%20MK1%20(CuriousBlue).jpg,"Added into the game in Update 1.10.0 and released in Season 19 (March 9, 2017 - March 23, 2017) as a pullable gold starred version of the Tempe5t 2 Boss car."
Volkswagen_GolfGTICrew_1982,Konduit's Volkswagen Golf GTI Mk1,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Volkswagen/%23Konduit's%20Volkswagen%20Golf%20GTI%20Mk1/Konduit's%20Volkswagen%20Golf%20GTI%20Mk1%20(Schwarz).jpg,"Added into the game in Update 1.10.0 and released in Season 19 (March 9, 2017 - March 23, 2017) as a winnable Tempe5t 2 Boss car."
AlfaRomeo_4CCoupeCrewRecycled_2013,Alfa Romeo 4C,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Alfa%20Romeo/Alfa%20Romeo%204C/Alfa%20Romeo%204C%20(RossoAlfa).jpg,"Added into the game in Update 1.19.0 and released in Season 49 (May 3, 2018 - May 17, 2018) as a pullable gold starred version of the Tempe5t 3 Boss car. 

For the WR tune, set the Transmission to Stage 5!"
AlfaRomeo_4CCoupeCrew_2013,Summer's Alfa Romeo 4C ''Launch Edition'',T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Alfa%20Romeo/%23Summer's%20Alfa%20Romeo%204C%20'Launch%20Edition'/Summer's%20Alfa%20Romeo%204C%20'Launch%20Edition'%20(BiancoCarrara).jpg,"Added into the game in Update 1.19.0 and released in Season 49 (May 3, 2018 - May 17, 2018) as a winnable Tempe5t 3 Boss car. 

For the WR tune, set the Transmission to Stage 5!"
AlfaRomeo_4CSpider_2016,Alfa Romeo 4C Spider,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Alfa%20Romeo/Alfa%20Romeo%204C%20Spider/Alfa%20Romeo%204C%20Spider%20(AlfaRed).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016. It was a Prestige Cup car in Season 8 (October 6, 2016 - October 20, 2016)."
Alpine_A110_2018,Alpine A110,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Alpine/Alpine%20A110/Alpine%20A110%20(BlancGlacier)%201.jpg,"Added into the game in Update 2.5.0 and released in Season 80 (July 11, 2019 - July 25, 2019) as a Prestige Cup car."
AstonMartin_DB5Classic_1964,Aston Martin DB5 (E.C. Level 0),T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/3.Legends/2.Restored/Aston%20Martin/Aston%20Martin%20DB5/Aston%20Martin%20DB5%20(StirlingGreen).jpg,"Added into the game in Update 1.23 and released in Season 62 (November 1, 2018 - November 15, 2018) as a part of the Legends campaign."
AstonMartin_DB5Classic_1964_EC,Aston Martin DB5 (E.C. Level 50),T2,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_21.png,"The car was added into the Elite Customs feature, in Update 2.11 and introduced in Season 96 (February 20, 2020 - March 5, 2020) as a part of the Elite Customs: Legends V.1 car collection."
Audi_TTRSPlusCoupe_2014,Audi TT RS,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Audi/Audi%20TT%20RS/Audi%20TT%20RS%20(ExclusiveGrisAster).jpg,"The model got reused from CSR Racing 1 and it was added in CSR Racing 2 around May, 2016 - June, 2016. It was a Prestige Cup car in Season 6 (September 8, 2016 - September 22, 2016)."
BMW_M235iCoupe_2014,BMW 2014 M235i Coupé (E.C. Level 0),T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/BMW/BMW%20M235i%20Coupe/BMW%20M235i%20Coupe%20(IndividualFireOrange).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016. It was a Prestige Cup car in Season 8 (October 6, 2016 - October 20, 2016)."
BMW_M235iCoupe_2014_EC,BMW 2014 M235i Coupé (E.C. Level 50),T2,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_18.png,"The car was added into the Elite Customs feature, in Update 2.12.0 and introduced in Season 103 (May 28, 2020 - June 11, 2020) as a part of the Elite Customs: Sports Cars car collection.

For the WR tune, set Nitrous, Transmission and Tires to Stage 5!"
BMW_Z4MCoupeCrew_2006,Daniel's BMW 2006 Z4 M,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/BMW/BMW%20Z4%20M%20Coupe/BMW%20Z4%20M%20Coupe%20(Silverstone).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Ferrari_250GTOClassic_1962,Ferrari 250 GTO (E.C. Level 0),T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/3.Legends/2.Restored/Ferrari/Ferarri%20250%20GTO/Ferarri%20250%20GTO%20(RossoCorsa).jpg,"Added into the game in Update 1.23 and released in Season 62 (November 1, 2018 - November 15, 2018) as a part of the Legends campaign."
Ferrari_250GTOClassic_1962_EC,Ferrari 250 GTO (E.C. Level 50),T2,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_20.png,"The car was added into the Elite Customs feature, in Update 2.11 and introduced in Season 96 (February 20, 2020 - March 5, 2020) as a part of the Elite Customs: Legends V.1 car collection."
Ford_F150SVTRaptor_2014,Ford F-150 SVT Raptor (E.C. Level 0),T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Ford/Ford%20F-150%20SVT%20Raptor/Ford%20F-150%20SVT%20Raptor%20(RubyRed).jpg,"Added into the game in Update 1.12.0 and released in Season 29 (July 27, 2017 - August 10, 2017) as a Prestige Cup car."
Ford_F150SVTRaptor_2014_EC,Ford F-150 SVT Raptor (E.C. Level 50),T2,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_19.png,"The car was added into the Elite Customs feature, in Update 2.13.0 and introduced in Season 106 (July 9, 2020 - July 23, 2020) as a part of the Elite Customs: Made In America car collection."
Ford_FocusRS_2017,Ford Focus RS,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Ford/Ford%20Focus%20RS/Ford%20Focus%20RS%20(CompetitionOrange).jpg,"Initially was released as Ford Focus ST (The model got reused from CSR Racing 1 and it was added in CSR Racing 2 around May, 2016 - June, 2016.) and used as a Prestige Cup car in Season 1 (June 30, 2016 - July 14, 2016). Later on was replaced with the current model being, Ford Focus RS."
Ford_FocusRSElite_2017,Altay's Ford Focus RS,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Ford/%23Altay's%20Ford%20Focus%20RS/Altay's%20Ford%20Focus%20RS%20(MatteBlack).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Honda_CivicTypeR_2017,Honda 2017 Civic Type R,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Honda/Honda%20Civic%20Type%20R/Honda%20Civic%20Type%20R%20(RallyeRed).jpg,"Added into the game in Update 1.15.0 and released in Season 42 (January 25, 2018 - February 8, 2018) as a Prestige Cup car."
Honda_CivicTypeRElite_2017,Rico's Honda 2017 Civic Type-R,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Honda/%23Rico's%20Honda%20Civic%20Type%20R/Rico's%20Honda%20Civic%20Type%20R%20(PolishedMetal).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Hyundai_VelosterTurboRSpecARK_2014,Hyundai Ark Performance Veloster,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Hyundai/Hyundai%20Ark%20Performance%20Veloster/Hyundai%20Ark%20Performance%20Veloster%20(BostonRed).jpg,"Added into the game in Update 2.6.0 and released in Season 82 (August 8, 2019 - August 22, 2019) as a Prestige Cup car."
Landrover_RangeRoverEvoqueCoupeCrewRecycled_2016,Land Rover Range Rover Evoque,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Land%20Rover/Land%20Rover%20Range%20Rover%20Evoque/Land%20Rover%20Range%20Rover%20Evoque%20(AintreeGreen)%201.jpg,"Added into the game in Update 1.8.0 and released in Season 10 (November 3, 2016 - November 17, 2016) as a pullable gold starred version of the Tempe5t 1 Boss car."
Landrover_RangeRoverEvoqueCoupeCrew_2016,Shana's Land Rover Range Rover Evoque,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Land%20Rover/%23Shana's%20Land%20Rover%20Range%20Rover%20Evoque/Shana's%20Land%20Rover%20Range%20Rover%20Evoque%20(KaikouraStone).jpg,"Added into the game in Update 1.8.0 and released in Season 10 (November 3, 2016 - November 17, 2016) as a winnable Tempe5t 1 Boss car."
Lotus_Exige360CupCrewRecycled_2016,Lotus Exige 360 Cup,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Lotus/Lotus%20Exige%20360%20Cup/Lotus%20Exige%20360%20Cup%20(Silver).jpg,"Added into the game in Update 1.10.0 and released in Season 19 (March 9, 2017 - March 23, 2017) as a pullable gold starred version of the Tempe5t 2 Boss car."
Lotus_Exige360CupCrew_2016,Finn's Lotus Exige 360 Cup,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Lotus/%23Finn's%20Lotus%20Exige%20360%20Cup/Finn's%20Lotus%20Exige%20360%20Cup%20(White).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016 and used as a Prestige Cup car in Season 4 (August 11, 2016 - August 25, 2016)."
Lotus_ExigeLF1_2014,Lotus Exige LF1,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Lotus/Lotus%20Exige%20LF1/Lotus%20Exige%20LF1%20(Black).jpg,"Added into the game in Update 2.1.0 and released in Season 66 (December 27, 2018 - January 10, 2019) as a Prestige Cup car."
Lotus_ExigeS_2014,Lotus Exige Sport 350 Roadster,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Lotus/Lotus%20Exige%20Sport%20350/Lotus%20Exige%20Sport%20350%20(RacingGreen).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016 and used as a Prestige Cup car in Season 4 (August 11, 2016 - August 25, 2016)."
Mazda_PandeMMX5_2016,Mazda Rocket Bunny MX-5 Miata,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Mazda/Mazda%20Rocket%20Bunny%20MX-5%20Miata/Mazda%20Rocket%20Bunny%20MX-5%20Miata%20(Candlelight).jpg,"Added into the game in Update 2.12.x and released in Season 106 (July 9, 2020 - July 23, 2020) as a Prestige Cup car."
MercedesBenz_A45AMG_2014,Mercedes-AMG A 45,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Mercedes/Mercedes%20A%2045%20AMG/Mercedes%20A%2045%20AMG%20(CirrusWhite).jpg,"It was added in CSR Racing 2, early 2016. In the Alpha version of the game, the car belonged to KJ. The release date as a gold star car available to all players via Rare Imports is unknown."
MercedesBenz_A45AMGElite_2014,Ruby Rose's Mercedes Benz A 45 AMG,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Mercedes/%23Ruby%20Rose's%20Mercedes%20A%2045%20AMG/Ruby%20Rose's%20A%2045%20AMG%20(Mercedes-BenzNightBlack).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
MercedesBenz_300SLClassic_1954,Mercedes-Benz 300 SL Coupé (E.C. Level 0),T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/3.Legends/2.Restored/Mercedes%20Benz/Mercedes-Benz%20300%20SL%20Coupe/Mercedes-Benz%20300%20SL%20Coupe%20(Black).jpg,"Added into the game in Update 1.23 and released in Season 62 (November 1, 2018 - November 15, 2018) as a part of the Legends campaign."
MercedesBenz_300SLClassic_1954_EC,Mercedes-Benz 300 SL Coupé (E.C. Level 50),T2,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_17.png,"The car was added into the Elite Customs feature, in Update 2.11.0 and introduced in Season 100 (April 16, 2020 - April 30, 2020) as a part of the Elite Customs: Legends V.2 car collection."
Mini_CooperJCWGP_2020,Mini John Cooper Works GP,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Mini/Mini%20John%20Cooper%20Works%20GP/Mini%20John%20Cooper%20Works%20GP%20(ChiliRed).jpg,"Added into the game in Update 2.9.3 and released in Season 99 (April 2, 2020 - April 16, 2020) as a Prestige Cup car."
Porsche_718BoxsterS_2017,Porsche 718 Boxster S,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Porsche/Porsche%20718%20Boxster%20S/Porsche%20718%20Boxster%20S%20(RacingYellow)%201.jpg,"Added into the game in Update 1.9.0 and released in Season 16 (January 26, 2017 - February 9, 2017) as a Prestige Cup car. It also had its own event, that same season.

For the WR tune, set the Engine to stock and Transmission to Stage 5!"
Subaru_ImprezaWRXSTI_2014,Subaru WRX STI,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Subaru/Subaru%20WRX%20STI/Subaru%20WRX%20STI%20(CrystalBlackSilica).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016."
Toyota_86Boss_2014,KJ's Toyota 86 Rocket Bunny,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Toyota/%23KJ's%20TOYOTA%2086%20Rocket%20Bunny/KJ's%20Toyota%2086%20Rocket%20Bunny%20(CrewSalsaRed).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016 as a main story winnable Boss car."
Volkswagen_RocketBunnyGolfGTI_2014,Volkswagen Golf GTI Rocket Bunny,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/VolksWagen/Volkswagen%20Rocket%20Bunny%20Golf%20GTI/Volkswagen%20Rocket%20Bunny%20Golf%20GTI%20(Sapphire)%201.jpg,"Added into the game in Update 1.23.0 and released in Season 64 (November 29, 2018 - December 13, 2018) as a Prestige Cup car."
Volkswagen_SciroccoR_2015,Volkswagen Scirocco R,T2,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/VolksWagen/Volkswagen%20Scirocco%20R/Volkswagen%20Scirocco%20R%20(CarbonSteel).jpg,"It was added in CSR Racing 2 around May, 2016 and used as a Prestige Cup car in BETA Season 2 (June 2, 2016 - June 16, 2016)."
AlfaRomeo_GiuliaQuadrifoglio_2017,Alfa Romeo Giulia Quadrifoglio,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Alfa%20Romeo/Alfa%20Romeo%20Guilia%20Quadrifoglio/Alfa%20Romeo%20Guilia%20Quadrifoglio%20(RossoCompetizioneTri-Coat).jpg,"Added into the game in Update 2.3.0 and released in Season 74 (April 18, 2019 - May 2, 2019) as a Prestige Cup car."
Audi_LBRS5Coupe_2014,Audi LB RS 5 Coupé,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Audi/Audi%20LB%20RS%205%20Coupe/Audi%20LB%20RS%205%20Coupe%20(AdmiralBlue).jpg,"Added into the game in Update 1.12.0 and released in Season 26 (June 15, 2017 - June 29, 2017) as a Prestige Cup car."
Audi_LBRS5CoupeElite_2014,Ruby Rose's Audi LB RS 5 Coupé,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Audi/%23Ruby%20Rose's%20Audi%20LB%20RS%205%20Coupe/Ruby%20Rose's%20Audi%20LB%20RS%205%20Coupe%20(DaytonaGray).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Audi_RS3SedanRewardRecycled_2023,Audi RS 3 Sedan performance edition,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Audi/Season%20200%20-%20Audi%20RS3%20Sedan%20performance%20edition/Audi%20RS%203%20performance%20edition%20(NogaroBlue).jpg,"Added into the game in OTA Update 4.9.0 and released in Season 200 (February 17, 2024 - March 2, 2024) as a Crew Milestone car."
Audi_RS3SedanReward_2023,Audi RS 3 Sedan performance edition,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Audi/Season%20200%20-%20Audi%20RS3%20Sedan%20performance%20edition/Audi%20RS%203%20performance%20edition%20(DaytonaGray).jpg,"Added into the game in Update 4.9.0 and released in Season 200 (February 17, 2024 - March 2, 2024) as a Crew Season car (Top 10 Crews)."
Audi_RS5CoupeRewardRecycled_2020,Audi RS 5 Coupé 2020,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Audi/Season%20140%20-%20Audi%20RS%205%20Coupe/Audi%20RS%205%20Coupe%20(Turbo%20Blue).jpg,"Added into the game in Update 3.4.0 and released in Season 140 (October 28, 2021 - November 11, 2021) as a Crew Milestone car. 

For the WR tune, set the Nitrous to Stage 5!"
Audi_RS5CoupeReward_2020,Audi RS 5 Coupé 2020,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Audi/Season%20140%20-%20Audi%20RS%205%20Coupe/Audi%20RS%205%20Coupe%20(Tango%20Red).jpg,"Added into the game in Update 3.4.0 and released in Season 140 (October 28, 2021 - November 11, 2021) as a Crew Season car (Top 10 Crews). 

For the WR tune, set the Nitrous to Stage 5!"
Audi_RS5Coupe_2014,Audi RS 5 Coupé (E.C. Level 0),T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Audi/Audi%20RS%205%20Coupe/Audi%20RS%205%20Coupe%20(ExclusiveGrisAster).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016."
Audi_RS5Coupe_2014_EC,Audi RS 5 Coupé (E.C. Level 50),T3,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_16.png,"The car was added into the Elite Customs feature, in Update 2.12.0 and introduced in Season 103 (May 28, 2020 - June 11, 2020) as a part of the Elite Customs: Sports Cars car collection."
BMW_ACSchnitzerM2Coupe_2016,BMW M2 by AC Schnitzer,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/BMW/BMW%20ACS2%20Sport/BMW%20ACS2%20Sport%20(BlueGray)%202.jpg,"Added into the game in Update 1.14.0 and released in Season 38 (November 30, 2017 - December 14, 2017) as a Prestige Cup car."
BMW_ACSchnitzerZ4_2019,BMW ACS4,T3,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/BMW/BMW%20ACS4/BMW%20ACS4%20(AlpineWhite).jpg,"Added into the game in Update 2.15.x and released in Season 110 (September 3, 2020 - September 17, 2020) as a Prestige Cup car."
